ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Google product feed: Adult content,Google product feed: Adwords grouping filter,Google product feed: Adwords labels,Google product feed: Age Group,Google product feed: Availability,Google product feed: Availability date,Google product feed: Bing Category,Google product feed: Bing shipping info (country and price),"Google product feed: Bing shipping info (country, service and price)",Google product feed: Bing shipping info (price only),Google product feed: Brand,Google product feed: Bundle indicator (is_bundle),Google product feed: Colour,Google product feed: Condition,Google product feed: Consumer datasheet,Google product feed: Consumer notice(s),Google product feed: Cost of goods sold,Google product feed: Custom label 0,Google product feed: Custom label 1,Google product feed: Custom label 2,Google product feed: Custom label 3,Google product feed: Custom label 4,Google product feed: Delivery label,Google product feed: Energy efficiency class,Google product feed: Energy label image link,Google product feed: Excluded destination,Google product feed: Gender,Google product feed: Global Trade Item Number (GTIN),Google product feed: Google Product Category,Google product feed: Google-funded promotion eligibility,Google product feed: Hide product from feed (Y/N),Google product feed: Identifier exists flag,Google product feed: Included destination,Google product feed: Instalment,Google product feed: Manufacturer Part Number (MPN),Google product feed: Material,Google product feed: Maximum energy efficiency class,Google product feed: Maximum handling time,Google product feed: Minimum energy efficiency class,Google product feed: Minimum handling time,Google product feed: Multipack,Google product feed: Pattern,Google product feed: Pickup SLA,Google product feed: Pickup method,Google product feed: Product Type,Google product feed: Product detail(s),Google product feed: Product fee,Google product feed: Product highlight(s),Google product feed: Promotion ID,Google product feed: Purchase quantity limit,Google product feed: Return address label,Google product feed: Return policy label,Google product feed: Sell On Google Quantity,Google product feed: Size,Google product feed: Size system,Google product feed: Size type,Google product feed: Tax Category (US stores only),Google product feed: Title,Google product feed: Transit time label,Google product feed: Unit pricing base measure,Google product feed: Unit pricing measure,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global,Attribute 21 name,Attribute 21 value(s),Attribute 21 visible,Attribute 21 global,Attribute 22 name,Attribute 22 value(s),Attribute 22 visible,Attribute 22 global,Attribute 23 name,Attribute 23 value(s),Attribute 23 visible,Attribute 23 global,Attribute 24 name,Attribute 24 value(s),Attribute 24 visible,Attribute 24 global,Attribute 25 name,Attribute 25 value(s),Attribute 25 visible,Attribute 25 global,Attribute 26 name,Attribute 26 value(s),Attribute 26 visible,Attribute 26 global
442055,simple,UF-11000,Arte Wallpaper - Macrame - 11000,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,"https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11000.jpg, https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11000-1-1.jpg, https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11000-2.jpg, https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11000-3-1.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home &amp; Garden &gt; Decor &gt; Wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Macrame,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11000,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Straight Match,1,1,Repeat,"16 cm (6.30"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442056,simple,UF-11001,Arte Wallpaper - Macrame - 11001,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11001.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home &amp; Garden &gt; Decor &gt; Wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Macrame,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11001,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Straight Match,1,1,Repeat,"16 cm (6.30"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442057,simple,UF-11002,Arte Wallpaper - Macrame - 11002,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11002.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home &amp; Garden &gt; Decor &gt; Wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Macrame,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11002,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Straight Match,1,1,Repeat,"16 cm (6.30"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442058,simple,UF-11003,Arte Wallpaper - Macrame - 11003,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11003.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home &amp; Garden &gt; Decor &gt; Wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Macrame,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11003,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Straight Match,1,1,Repeat,"16 cm (6.30"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442059,simple,UF-11020,Arte Wallpaper - Calanco - 11020,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,"https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11020.jpg, https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11020-1-1.jpg, https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11020-2.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home &amp; Garden &gt; Decor &gt; Wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Calanco,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11020,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Straight Match,1,1,Repeat,"32 cm (12.60"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442060,simple,UF-11021,Arte Wallpaper - Calanco - 11021,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11021.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home &amp; Garden &gt; Decor &gt; Wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Calanco,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11021,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Straight Match,1,1,Repeat,"32 cm (12.60"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442061,simple,UF-11022,Arte Wallpaper - Calanco - 11022,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11022.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home &amp; Garden &gt; Decor &gt; Wallpaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Calanco,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11022,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Straight Match,1,1,Repeat,"32 cm (12.60"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442062,simple,UF-11040,Arte Wallpaper - Talamanca - 11040,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,"https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11040.jpg, https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11040-1-1.jpg, https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11040-2.jpg, https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11040-3.jpg",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Talamanca,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11040,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Drop Match,1,1,Repeat,"64/32 cm (25.20""/12.60"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442063,simple,UF-11041,Arte Wallpaper - Talamanca - 11041,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11041.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Talamanca,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11041,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Drop Match,1,1,Repeat,"64/32 cm (25.20""/12.60"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442064,simple,UF-11042,Arte Wallpaper - Talamanca - 11042,1,0,visible,,Timeless wallpaper with a vintage touch and a glamorous twist,,,taxable,,1,,,0,0,1.3,60,8.5,60,1,,,556,Wallpaper,,,https://inspiry.co.nz/wp-content/uploads/2021/05/UF-11042.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Name,Arte Wallpaper,1,1,Collection,Travellers,1,1,Design Name,Talamanca,1,1,Composition,Wallpaper on non-woven backing,1,1,Color Number,11042,1,1,Dimensions,"Rolls of 8.50 m x 0.70 m = 6 m² / 9.30 yds x 27.56"" = 64 sq. ft.",1,1,Match,Drop Match,1,1,Repeat,"64/32 cm (25.20""/12.60"")",1,1,Adhesive,"Adhesive for non-woven wallcovering like Arte Clearpro, or Metyl Special (200 g in 4 l of water) with the addition of 20% PVA adhesive",1,1,Light resistance,Good lightfastness,1,1,Care,Washable,1,1,Fire retardancy,"B-s1, d0 / Class A",1,1,How to paste,Paste the wall,1,1,How to remove,Strippable,1,1,Availability,Due in 5-7 Days,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
