ID,SKU,Published,Is featured?,Visibility in catalogue,Images
419334,ZO-AID402,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-AID402.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-AID402-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-AID402-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-AID402-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-AID402-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-AID402-5.jpg
419343,ZO-ADA701,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA701.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA701-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA701-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA701-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA701-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA701-5.jpg
419344,ZO-ADA703,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA703.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA703-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA703-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA703-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA703-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA703-5.jpg
419347,ZO-ADA706,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA706.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA706-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA706-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA706-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA706-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ADA706-5.jpg
419353,ZO-ALL907,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL907.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL907-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL907-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL907-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL907-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL907-5.jpg
419354,ZO-ALL908,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL908.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL908-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL908-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL908-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL908-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-ALL908-5.jpg
419378,ZO-KWA802,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA802.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA802-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA802-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA802-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA802-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KWA802-5.jpg
419388,ZO-GAT009,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-GAT009.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-GAT009-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-GAT009-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-GAT009-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-GAT009-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-GAT009-5.jpg
419436,ZO-KOS601,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS601.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS601-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS601-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS601-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS601-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS601-5.jpg
419438,ZO-KOS606,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS606.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS606-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS606-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS606-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS606-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS606-5.jpg
419439,ZO-KOS704,1,0,visible,https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-4.jpg|https://inspiry.co.nz/wp-content/uploads/2021/khroma/ZO-KOS704-5.jpg
