Type,SKU,Images
simple,ET-LEDCANDLE4W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDCANDLE4W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDCANDLE4W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDCANDLE4W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDCANDLE4W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDCANDLE4W-4.jpg
simple,ET-LEDA60E278W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60E278W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60E278W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60E278W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60E278W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60E278W-4.jpg
simple,ET-LEDA60B228W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60B228W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60B228W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60B228W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60B228W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDA60B228W-4.jpg
simple,ET-12VA60E278W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-12VA60E278W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-12VA60E278W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-12VA60E278W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-12VA60E278W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-12VA60E278W-4.jpg
simple,ET-LEDG95E278W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95E278W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95E278W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95E278W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95E278W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95E278W-4.jpg
simple,ET-LEDG95B228W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95B228W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95B228W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95B228W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95B228W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG95B228W-4.jpg
simple,ET-LEDG125E278W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125E278W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125E278W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125E278W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125E278W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125E278W-4.jpg
simple,ET-LEDG125B228W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125B228W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125B228W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125B228W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125B228W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDG125B228W-4.jpg
simple,ET-LEDP180E279W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180E279W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180E279W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180E279W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180E279W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180E279W-4.jpg
simple,ET-LEDP180B229W,https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180B229W.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180B229W-1.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180B229W-2.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180B229W-3.jpg|https://inspiry.co.nz/wp-content/uploads/2021/eurotech-lighting/ET-LEDP180B229W-4.jpg
